pid,scenario,treatment,switching_point,inconsistent_choices,relevant,tediousness,test,pchosen,optionchosen,extra,scenariochosen,totaltask,vchosen,gender,age,total,time_welcome,time_instructions_pre,time_encryption_task,time_questionnaire1,time_task_preparation,time_questionnaire2,time_encryption_main_task,time_summary,session_date,reservation_wage
1,Scenario1,NARROW,4,0,1,8,NA,4.25,1,0,1,15,4,Female,27,6,15,44,126,17,27,7,622,24,2019-12-18T17:59:00Z,1
1,Scenario2,NARROW,6,0,1,8,NA,4.25,1,0,1,15,4,Female,27,6,15,44,126,17,27,7,622,24,2019-12-18T17:59:00Z,1.5
2,Scenario1,LOW,3,0,2,4,1,4.5,1,0,1,0,4,Female,38,6,12,27,209,11,30,7,4,24,2019-12-18T17:59:00Z,0.75
2,Scenario2,LOW,17,0,2,4,1,4.5,1,0,1,0,4,Female,38,6,12,27,209,11,30,7,4,24,2019-12-18T17:59:00Z,4.25
3,Scenario1,BROAD,12,0,3,5,1,4.75,1,0,1,15,6,Male,28,8,23,66,134,10,50,10,624,31,2019-12-18T17:59:00Z,3
3,Scenario2,BROAD,12,0,3,5,1,4.75,1,0,1,15,6,Male,28,8,23,66,134,10,50,10,624,31,2019-12-18T17:59:00Z,3
4,Scenario1,NARROW,8,0,4,7,NA,5,1,0,1,15,4,Male,72,6,56,115,296,28,63,16,1164,132,2019-12-18T17:59:00Z,2
4,Scenario2,NARROW,8,0,4,7,NA,5,1,0,1,15,4,Male,72,6,56,115,296,28,63,16,1164,132,2019-12-18T17:59:00Z,2
5,Scenario1,LOW,NA,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,2019-12-18T17:59:00Z,NA
5,Scenario2,LOW,NA,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,2019-12-18T17:59:00Z,NA
6,Scenario1,BROAD,17,0,6,4,NA,5.5,1,0,1,15,6,Female,68,8,6,30,135,22,38,10,550,26,2019-12-18T17:59:00Z,4.25
6,Scenario2,BROAD,17,0,6,4,NA,5.5,1,0,1,15,6,Female,68,8,6,30,135,22,38,10,550,26,2019-12-18T17:59:00Z,4.25
7,Scenario1,NARROW,8,0,7,5,2,5.75,1,0,1,15,4,Female,38,6,5,21,139,15,46,7,585,49,2019-12-18T17:59:00Z,2
7,Scenario2,NARROW,12,0,7,5,2,5.75,1,0,1,15,4,Female,38,6,5,21,139,15,46,7,585,49,2019-12-18T17:59:00Z,3
8,Scenario1,LOW,12,0,8,9,2,6,1,0,1,0,4,Male,47,6,11,17,105,5,13,4,4,17,2019-12-18T17:59:00Z,3
8,Scenario2,LOW,17,0,8,9,2,6,1,0,1,0,4,Male,47,6,11,17,105,5,13,4,4,17,2019-12-18T17:59:00Z,4.25
9,Scenario1,BROAD,12,0,9,10,NA,6.25,1,0,1,15,6,Female,58,8,9,35,257,7,37,6,396,16,2019-12-18T17:59:00Z,3
9,Scenario2,BROAD,13,0,9,10,NA,6.25,1,0,1,15,6,Female,58,8,9,35,257,7,37,6,396,16,2019-12-18T17:59:00Z,3.25
10,Scenario1,NARROW,NA,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,2019-12-18T17:59:00Z,NA
10,Scenario2,NARROW,NA,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,2019-12-18T17:59:00Z,NA
11,Scenario1,LOW,1,3,11,8,1,6.75,1,0,1,0,4,Male,32,6,39,62,159,31,54,9,15,55,2019-12-18T17:59:00Z,0.25
11,Scenario2,LOW,7,1,11,8,1,6.75,1,0,1,0,4,Male,32,6,39,62,159,31,54,9,15,55,2019-12-18T17:59:00Z,1.75
12,Scenario1,BROAD,NA,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,35,NA,NA,NA,NA,NA,NA,2019-12-18T17:59:00Z,NA
12,Scenario2,BROAD,NA,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,35,NA,NA,NA,NA,NA,NA,2019-12-18T17:59:00Z,NA
13,Scenario1,NARROW,1,0,13,10,1,7.25,2,15,1,30,7.25,Female,34,9.25,4,9,174,7,27,7,1670,32,2019-12-18T17:59:00Z,0.25
13,Scenario2,NARROW,13,0,13,10,1,7.25,2,15,1,30,7.25,Female,34,9.25,4,9,174,7,27,7,1670,32,2019-12-18T17:59:00Z,3.25
14,Scenario1,LOW,8,0,14,7,2,7.5,2,15,1,15,7.5,Female,60,9.5,64,29,86,11,37,9,347,22,2019-12-18T17:59:00Z,2
14,Scenario2,LOW,4,0,14,7,2,7.5,2,15,1,15,7.5,Female,60,9.5,64,29,86,11,37,9,347,22,2019-12-18T17:59:00Z,1
15,Scenario1,BROAD,17,0,15,8,1,7.75,1,0,1,15,6,Female,35,8,8,66,109,10,43,8,604,21,2019-12-18T17:59:00Z,4.25
15,Scenario2,BROAD,17,0,15,8,1,7.75,1,0,1,15,6,Female,35,8,8,66,109,10,43,8,604,21,2019-12-18T17:59:00Z,4.25
16,Scenario1,NARROW,NA,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,2019-12-18T17:59:00Z,NA
16,Scenario2,NARROW,NA,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,2019-12-18T17:59:00Z,NA
17,Scenario1,LOW,16,0,17,10,1,4.25,1,15,2,15,4,Male,32,6,7,38,129,15,32,9,515,15,2019-12-18T17:59:00Z,4
17,Scenario2,LOW,17,0,17,10,1,4.25,1,15,2,15,4,Male,32,6,7,38,129,15,32,9,515,15,2019-12-18T17:59:00Z,4.25
18,Scenario1,BROAD,10,0,18,9,1,4.5,1,15,2,30,6,Male,54,8,42,196,224,17,231,9,1285,54,2019-12-18T17:59:00Z,2.5
18,Scenario2,BROAD,14,0,18,9,1,4.5,1,15,2,30,6,Male,54,8,42,196,224,17,231,9,1285,54,2019-12-18T17:59:00Z,3.5
19,Scenario1,NARROW,4,0,19,7,1,4.75,1,15,2,30,4,Male,32,6,515,14,96,6,13,4,629,15,2019-12-18T17:59:00Z,1
19,Scenario2,NARROW,8,0,19,7,1,4.75,1,15,2,30,4,Male,32,6,515,14,96,6,13,4,629,15,2019-12-18T17:59:00Z,2
20,Scenario1,LOW,NA,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-18T17:59:00Z,NA
20,Scenario2,LOW,NA,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-18T17:59:00Z,NA
21,Scenario1,BROAD,1,0,21,5,NA,5.25,2,30,2,45,7.25,Male,42,9.25,18,64,121,13,57,7,1426,120,2019-12-18T17:59:00Z,0.25
21,Scenario2,BROAD,1,0,21,5,NA,5.25,2,30,2,45,7.25,Male,42,9.25,18,64,121,13,57,7,1426,120,2019-12-18T17:59:00Z,0.25
22,Scenario1,NARROW,15,0,22,4,1,5.5,1,15,2,30,4,NA,NA,NA,3,11,167,6,19,NA,NA,16,2019-12-18T17:59:00Z,3.75
22,Scenario2,NARROW,16,0,22,4,1,5.5,1,15,2,30,4,NA,NA,NA,3,11,167,6,19,NA,NA,16,2019-12-18T17:59:00Z,4
23,Scenario1,LOW,4,0,23,4,2,5.75,2,30,2,30,5.75,Female,35,7.75,32,43,83,14,33,6,765,20,2019-12-18T17:59:00Z,1
23,Scenario2,LOW,6,0,23,4,2,5.75,2,30,2,30,5.75,Female,35,7.75,32,43,83,14,33,6,765,20,2019-12-18T17:59:00Z,1.5
