playerNr,groupNr,subjectNr,period,treatment,relevant,t2_correcttexts,t2_numseq,t2_answer,tediousness,test,wta11,wta12,wta13,wta14,wta15,wta16,wta17,wta18,wta19,wta110,wta111,wta112,wta113,wta114,wta115,wta116,wta21,wta22,wta23,wta24,wta25,wta26,wta27,wta28,wta29,wta210,wta211,wta212,wta213,wta214,wta215,wta216,pchosen,optionchosen,extra,scenario,rel,totaltask,vchosen,gender,age,bonus,total,time_welcome,time_instructions_pre,time_encryption_task,time_questionnaire1,time_task_preparation,time_questionnaire2,time_encryption_main_task,time_summary,session_date
1,0,0,1,1,1,15,18,NA,8,NA,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,4.25,1,0,1,1,15,4,2,27,4,6,15,44,126,17,27,7,622,24,2019-12-18T17:59:00Z
2,0,0,1,2,2,0,1,NA,4,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.5,1,0,1,2,0,4,2,38,4,6,12,27,209,11,30,7,4,24,2019-12-18T17:59:00Z
3,0,0,1,3,3,15,17,NA,5,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,4.75,1,0,1,3,15,6,1,28,6,8,23,66,134,10,50,10,624,31,2019-12-18T17:59:00Z
4,0,0,1,1,4,15,17,NA,7,NA,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,5,1,0,1,4,15,4,1,72,4,6,56,115,296,28,63,16,1164,132,2019-12-18T17:59:00Z
5,0,0,1,2,5,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,2019-12-18T17:59:00Z
6,0,0,1,3,6,15,16,NA,4,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5.5,1,0,1,6,15,6,2,68,6,8,6,30,135,22,38,10,550,26,2019-12-18T17:59:00Z
7,0,0,1,1,7,15,17,NA,5,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,5.75,1,0,1,7,15,4,2,38,4,6,5,21,139,15,46,7,585,49,2019-12-18T17:59:00Z
8,0,0,1,2,8,0,1,NA,9,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,0,1,8,0,4,1,47,4,6,11,17,105,5,13,4,4,17,2019-12-18T17:59:00Z
9,0,0,1,3,9,15,17,NA,10,NA,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6.25,1,0,1,9,15,6,2,58,6,8,9,35,257,7,37,6,396,16,2019-12-18T17:59:00Z
10,0,0,1,1,10,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,2019-12-18T17:59:00Z
11,0,0,1,2,11,0,1,NA,8,1,2,2,1,2,2,1,1,2,2,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2,6.75,1,0,1,11,0,4,1,32,4,6,39,62,159,31,54,9,15,55,2019-12-18T17:59:00Z
12,0,0,1,3,12,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,35,NA,NA,NA,NA,NA,NA,2019-12-18T17:59:00Z
13,0,0,1,1,13,30,35,NA,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,7.25,2,15,1,13,30,7.25,2,34,7.25,9.25,4,9,174,7,27,7,1670,32,2019-12-18T17:59:00Z
14,0,0,1,2,14,15,16,NA,7,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,7.5,2,15,1,14,15,7.5,2,60,7.5,9.5,64,29,86,11,37,9,347,22,2019-12-18T17:59:00Z
15,0,0,1,3,15,15,18,NA,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7.75,1,0,1,15,15,6,2,35,6,8,8,66,109,10,43,8,604,21,2019-12-18T17:59:00Z
16,0,0,1,1,16,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,2019-12-18T17:59:00Z
17,0,0,1,2,17,15,17,NA,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.25,1,15,2,8.5,15,4,1,32,4,6,7,38,129,15,32,9,515,15,2019-12-18T17:59:00Z
18,0,0,1,3,18,30,34,NA,9,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4.5,1,15,2,9,30,6,1,54,6,8,42,196,224,17,231,9,1285,54,2019-12-18T17:59:00Z
19,0,0,1,1,19,30,33,NA,7,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,4.75,1,15,2,9.5,30,4,1,32,4,6,515,14,96,6,13,4,629,15,2019-12-18T17:59:00Z
20,0,0,1,2,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-18T17:59:00Z
21,0,0,1,3,21,45,46,NA,5,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5.25,2,30,2,10.5,45,7.25,1,42,7.25,9.25,18,64,121,13,57,7,1426,120,2019-12-18T17:59:00Z
22,0,0,1,1,22,0,1,NA,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5.5,1,15,2,11,30,4,NA,NA,NA,NA,3,11,167,6,19,NA,NA,16,2019-12-18T17:59:00Z
23,0,0,1,2,23,30,33,NA,4,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,5.75,2,30,2,11.5,30,5.75,2,35,5.75,7.75,32,43,83,14,33,6,765,20,2019-12-18T17:59:00Z
24,0,0,1,3,24,45,48,NA,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,6,2,30,2,12,45,8,1,28,8,10,10,53,246,29,22,8,2393,27,2019-12-18T17:59:00Z
25,0,0,1,1,25,0,1,NA,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6.25,2,30,2,12.5,45,6.25,NA,NA,NA,NA,5,9,184,7,9,NA,NA,12,2019-12-18T17:59:00Z
26,0,0,1,2,26,0,1,NA,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6.5,1,15,2,13,15,4,NA,NA,NA,NA,3,3,83,2,2,NA,NA,NA,2019-12-18T17:59:00Z
27,0,0,1,3,27,45,50,NA,4,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,6.75,2,30,2,13.5,45,8.75,1,59,8.75,10.75,20,72,164,13,46,9,1856,20,2019-12-18T17:59:00Z
1,0,0,1,1,1,15,17,NA,8,NA,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,4.25,1,0,1,1,15,4,2,58,4,6,14,1565,117,11,29,5,467,19,2019-12-19T08:39:00Z
2,0,0,1,2,2,0,1,NA,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.5,1,0,1,2,0,4,1,31,4,6,18,36,159,7,23,6,4,14,2019-12-19T08:39:00Z
3,0,0,1,3,3,1,2,NA,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.75,1,0,1,3,15,6,NA,NA,NA,NA,32,5,164,5,28,NA,NA,36,2019-12-19T08:39:00Z
4,0,0,1,1,4,15,17,NA,7,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,5,1,0,1,4,15,4,1,28,4,6,4,12,150,7,25,5,546,20,2019-12-19T08:39:00Z
5,0,0,1,2,5,0,1,NA,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,5.25,1,0,1,5,0,4,2,44,4,6,11,18,82,12,25,6,4,16,2019-12-19T08:39:00Z
6,0,0,1,3,6,15,16,NA,7,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5.5,1,0,1,6,15,6,1,26,6,8,13,19,222,16,26,8,671,155,2019-12-19T08:39:00Z
8,0,0,1,2,8,15,23,NA,10,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,1,2,2,1,2,2,1,2,1,2,1,2,2,1,2,2,6,2,15,1,8,15,6,2,29,6,8,20,28,150,9,10,10,580,26,2019-12-19T08:39:00Z
9,0,0,1,3,9,15,16,NA,9,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,6.25,1,0,1,9,15,6,1,39,6,8,6,15,116,7,57,6,529,28,2019-12-19T08:39:00Z
10,0,0,1,1,10,15,17,NA,7,1,1,1,2,2,1,1,1,1,2,1,2,1,2,2,1,2,1,1,1,1,2,2,2,2,1,1,1,1,2,2,1,2,6.5,1,0,1,10,15,4,1,47,4,6,21,41,178,5,15,8,1034,27,2019-12-19T08:39:00Z
11,0,0,1,2,11,0,1,NA,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6.75,1,0,1,11,0,4,1,31,4,6,21,92,296,10,29,15,5,20,2019-12-19T08:39:00Z
12,0,0,1,3,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-19T08:39:00Z
13,0,0,1,1,13,30,33,NA,4,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,7.25,2,15,1,13,30,7.25,1,25,7.25,9.25,5,42,75,6,21,4,794,18,2019-12-19T08:39:00Z
14,0,0,1,2,14,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,50,NA,NA,NA,NA,NA,NA,2019-12-19T08:39:00Z
15,0,0,1,3,15,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,2019-12-19T08:39:00Z
16,0,0,1,1,16,15,16,NA,6,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,0,1,16,15,4,2,68,4,6,34,41,898,12,67,9,531,25,2019-12-19T08:39:00Z
17,0,0,1,2,17,15,17,NA,5,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4.25,1,15,2,8.5,15,4,1,36,4,6,65,33,194,12,31,6,1058,32,2019-12-19T08:39:00Z
18,0,0,1,3,18,0,3,NA,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.5,1,15,2,9,30,6,NA,NA,NA,NA,5,31,93,5,15,NA,NA,33,2019-12-19T08:39:00Z
19,0,0,1,1,19,30,38,NA,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,4.75,1,15,2,9.5,30,4,2,38,4,6,4,17,236,11,32,7,1747,10,2019-12-19T08:39:00Z
20,0,0,1,2,20,15,17,NA,6,NA,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,5,1,15,2,10,15,4,1,32,4,6,31,52,359,22,50,7,711,24,2019-12-19T08:39:00Z
21,0,0,1,3,21,30,31,NA,10,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5.25,1,15,2,10.5,30,6,1,47,6,8,12,42,122,8,28,8,1062,19,2019-12-19T08:39:00Z
22,0,0,1,1,22,30,35,NA,10,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,5.5,1,15,2,11,30,4,2,24,4,6,190,25,127,6,43,4,2095,18,2019-12-19T08:39:00Z
23,0,0,1,2,23,15,17,NA,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5.75,1,15,2,11.5,15,4,1,31,4,6,7,39,144,10,15,5,392,19,2019-12-19T08:39:00Z
24,0,0,1,3,24,45,50,NA,4,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,6,2,30,2,12,45,8,1,23,8,10,15,19,178,9,37,5,1329,22,2019-12-19T08:39:00Z
25,0,0,1,1,25,45,46,NA,8,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,6.25,2,30,2,12.5,45,6.25,2,41,6.25,8.25,28,38,155,9,38,8,2119,31,2019-12-19T08:39:00Z
26,0,0,1,2,26,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2019-12-19T08:39:00Z
27,0,0,1,3,27,30,33,NA,6,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,6.75,1,15,2,13.5,30,6,2,30,6,8,256,52,140,20,58,8,1516,25,2019-12-19T08:39:00Z
28,0,0,1,1,28,0,1,NA,5,1,2,1,1,2,2,2,1,1,2,1,2,1,2,1,1,1,2,1,2,2,1,2,1,1,1,2,1,1,2,1,2,2,7,1,15,2,14,30,4,NA,NA,NA,NA,20,32,272,5,12,NA,NA,50,2019-12-19T08:39:00Z
29,0,0,1,2,29,30,34,NA,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,7.25,2,30,2,14.5,30,7.25,1,39,7.25,9.25,14,44,132,9,20,7,1789,20,2019-12-19T08:39:00Z
30,0,0,1,3,30,30,41,NA,9,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7.5,1,15,2,15,30,6,2,53,6,8,7,70,173,6,32,8,1226,21,2019-12-19T08:39:00Z
31,0,0,1,1,31,30,31,NA,10,NA,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7.75,1,15,2,15.5,30,4,1,34,4,6,119,57,147,9,39,8,915,25,2019-12-19T08:39:00Z
32,0,0,1,2,32,30,32,NA,4,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,8,2,30,2,16,30,8,2,31,8,10,15,56,104,13,37,5,927,22,2019-12-19T08:39:00Z
33,0,0,1,3,1,30,32,NA,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4.25,2,15,1,1,30,6.25,2,43,6.25,8.25,34,108,262,10,64,7,1423,42,2019-12-19T08:39:00Z
34,0,0,1,1,2,15,16,NA,8,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.5,1,0,1,2,15,4,1,19,4,6,4,18,61,5,14,4,359,10,2019-12-19T08:39:00Z
35,0,0,1,2,3,0,1,NA,6,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4.75,1,0,1,3,0,4,1,22,4,6,10,38,93,15,26,5,5,19,2019-12-19T08:39:00Z
36,0,0,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-19T08:39:00Z
37,0,0,1,1,5,15,16,NA,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,5.25,1,0,1,5,15,4,1,29,4,6,8,5,153,7,309,4,482,15,2019-12-19T08:39:00Z
38,0,0,1,2,6,15,18,NA,10,1,2,1,2,1,2,2,1,1,2,2,1,2,1,1,2,1,1,2,1,2,2,2,1,1,2,1,1,2,1,2,1,2,5.5,2,15,1,6,15,5.5,1,26,5.5,7.5,116,12,240,8,39,9,1334,26,2019-12-19T08:39:00Z
39,0,0,1,3,7,30,32,NA,9,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,5.75,2,15,1,7,30,7.75,1,29,7.75,9.75,33,71,145,10,44,7,849,22,2019-12-19T08:39:00Z
1,0,0,1,1,1,15,16,NA,8,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.25,1,0,1,1,15,4,1,36,4,6,1831,48,246,10,35,9,739,345,2019-12-19T15:12:00Z
2,0,0,1,2,2,15,21,NA,9,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,2,2,1,2,2,2,2,2,2,2,4.5,2,15,1,2,15,4.5,2,42,4.5,6.5,10,34,165,10,15,5,775,21,2019-12-19T15:12:00Z
3,0,0,1,3,3,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,28,NA,NA,NA,NA,NA,NA,2019-12-19T15:12:00Z
4,0,0,1,1,4,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,42,NA,NA,NA,NA,NA,NA,2019-12-19T15:12:00Z
5,0,0,1,2,5,0,1,NA,8,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,5.25,1,0,1,5,0,4,1,32,4,6,141,6,764,6,11,17,40,18,2019-12-19T15:12:00Z
6,0,0,1,3,6,30,31,NA,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5.5,2,15,1,6,30,7.5,2,37,7.5,9.5,30,20,134,8,18,6,682,14,2019-12-19T15:12:00Z
7,0,0,1,1,7,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,2019-12-19T15:12:00Z
8,0,0,1,2,8,15,18,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,2,15,1,8,15,6,2,27,6,8,9,106,209,8,31,11,702,28,2019-12-19T15:12:00Z
9,0,0,1,3,9,30,32,NA,10,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,6.25,2,15,1,9,30,8.25,2,24,8.25,10.25,19,26,99,7,29,8,908,48,2019-12-19T15:12:00Z
10,0,0,1,1,10,30,33,NA,8,NA,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,6.5,2,15,1,10,30,6.5,2,62,6.5,8.5,26,59,139,16,39,9,957,22,2019-12-19T15:12:00Z
11,0,0,1,2,11,15,16,NA,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,6.75,2,15,1,11,15,6.75,2,34,6.75,8.75,21,85,209,11,485,8,686,54,2019-12-19T15:12:00Z
12,0,0,1,3,12,15,16,NA,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,0,1,12,15,6,1,45,6,8,21,40,102,12,465,6,608,21,2019-12-19T15:12:00Z
13,0,0,1,1,13,30,31,NA,5,NA,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,7.25,2,15,1,13,30,7.25,1,55,7.25,9.25,95,70,181,18,52,11,1157,30,2019-12-19T15:12:00Z
14,0,0,1,2,14,15,16,NA,8,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7.5,2,15,1,14,15,7.5,1,52,7.5,9.5,17,14,205,15,31,7,1301,20,2019-12-19T15:12:00Z
15,0,0,1,3,15,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,13,NA,NA,NA,NA,NA,NA,2019-12-19T15:12:00Z
16,0,0,1,1,16,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,121,NA,NA,NA,NA,NA,NA,2019-12-19T15:12:00Z
17,0,0,1,2,17,15,18,NA,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.25,1,15,2,8.5,15,4,1,29,4,6,13,1555,224,12,30,6,544,15,2019-12-19T15:12:00Z
18,0,0,1,3,18,30,39,NA,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.5,1,15,2,9,30,6,1,40,6,8,19,19,111,13,37,10,990,20,2019-12-19T15:12:00Z
19,0,0,1,1,19,30,33,NA,9,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,4.75,1,15,2,9.5,30,4,2,26,4,6,1739,9,207,5,8,6,1396,16,2019-12-19T15:12:00Z
