"","X","name","circuit","num_kids","girls","sons","woman","yearb","race","religion","republican","progressive_vote"
"1",1,"Alarcon, Arthur L.",9,3,1,2,0,1925,3,4,0,0
"2",2,"Aldisert, Ruggero",3,3,1,2,0,1919,1,4,0,0.666666667
"3",3,"Aldrich, Bailey",1,2,0,2,0,1907,1,1,1,0.333333333
"4",4,"Alito, Samuel A., Jr.",3,2,1,1,0,1950,1,4,1,0.5
"5",5,"Altimari, Frank X.",2,4,1,3,0,1928,1,4,1,0.5
"6",8,"Anderson, Stephen H.",10,1,1,0,0,1932,1,99,1,0.153846154
"7",9,"Arnold, Morris S.",8,0,0,0,0,1941,1,2,1,0.515151515
"8",10,"Arnold, Richard S.",8,2,2,0,0,1936,1,2,0,0.444444444
"9",11,"Baldock, Bobby R.",10,2,0,2,0,1936,1,3,1,0.2
"10",12,"Barkett, Rosemary",11,0,0,0,1,1939,1,4,0,0.6
"11",13,"Barksdale, Rhesa H.",5,0,0,0,0,1944,1,2,1,0.428571429
"12",14,"Barrett, James E.",10,3,1,2,0,1922,1,4,1,0.333333333
"13",15,"Barry, Maryanne",3,1,0,1,1,1928,1,5,0,0
"14",16,"Batchelder, Alice M.",6,2,1,1,1,1944,1,2,1,0.176470588
"15",17,"Bauer, William J.",7,2,2,0,0,1926,1,4,1,0.4
"16",18,"Beam, Clarence A.",8,5,0,5,0,1930,1,7,1,0.378378378
"17",19,"Becker, Edward R.",3,3,1,2,0,1933,1,5,1,0.444444444
"18",20,"Beezer, Robert R.",9,3,1,2,0,1928,1,4,1,0
"19",21,"Benavides, Fortunato Pedro",5,2,2,0,0,1947,3,2,0,0.416666667
"20",22,"Berzon, Marsha",9,2,1,1,1,1945,1,5,0,0.333333333
"21",23,"Birch, Stanley F., Jr.",11,1,1,0,0,1945,1,2,1,0.545454545
"22",24,"Black, Susan H.",11,0,0,0,1,1943,1,2,1,0.111111111
"23",25,"Boggs, Danny J.",6,3,2,1,0,1944,1,5,1,0.214285714
"24",26,"Boudin, Michael",1,3,1,2,0,1939,1,5,1,0.466666667
"25",27,"Bowman, Pasco M.",8,3,2,1,0,1933,1,3,1,0.227272727
"26",28,"Bownes, Hugh",1,3,1,2,0,1920,1,8,0,0.571428571
"27",29,"Bright, Myron",8,2,1,1,0,1919,1,5,0,0.5
"28",30,"Briscoe, Mary",10,0,0,0,1,1947,1,99,0,0.242424242
"29",31,"Brorby, Wade",10,2,0,2,0,1934,1,7,1,0.290322581
"30",32,"Brown, Bailey",6,1,0,1,0,1917,1,2,0,0
"31",33,"Brunetti, Melvin T.",9,2,1,1,0,1933,1,99,1,0.6
"32",34,"Buckley, James L.",12,6,1,5,0,1923,1,4,1,0
"33",35,"Bye, Kermit",8,3,2,1,0,1937,1,24,0,0.416666667
"34",36,"Cabranes, Jose Alberto",2,4,2,2,0,1940,3,4,0,1
"35",37,"Calabresi, Guido",2,3,2,1,0,1932,1,4,0,0.555555556
"36",38,"Campbell, Levin H.",1,3,2,1,0,1927,1,8,1,0.666666667
"37",39,"Canby, William C.",9,3,1,2,0,1931,1,99,0,0.714285714
"38",40,"Cardamone, Richard J.",2,0,0,0,0,1925,1,4,1,0.714285714
"39",42,"Clark, Thomas A.",5,3,1,2,0,1920,1,10,0,0
"40",43,"Clay, Eric",6,0,0,0,0,1951,2,99,0,0.428571429
"41",44,"Coffey, John L.",7,2,1,1,0,1922,1,4,1,0.28125
"42",45,"Coffin, Frank",1,4,3,1,0,1919,1,3,0,0.6
"43",46,"Cole, Ransey",6,3,1,2,0,1951,2,99,0,0.5
"44",47,"Contie, Leroy J.",6,2,1,1,0,1926,1,4,1,0.333333333
"45",48,"Cowen, Robert E.",3,2,2,0,0,1930,1,5,1,0.5
"46",49,"Cox, Emmett R.",11,2,1,1,0,1935,1,2,1,0.285714286
"47",50,"Cudahy, Richard D.",7,7,4,3,0,1926,1,4,0,0.476190476
"48",51,"Cummings, Walter",7,3,0,3,0,1916,1,4,0,0.363636364
"49",52,"Cyr, Conrad F.",1,2,0,2,0,1931,1,4,1,0.7
"50",53,"Daughtrey, Martha Craig",6,1,1,0,1,1942,1,2,0,0.375
"51",55,"DeMoss, Harold R., Jr.",5,2,1,1,0,1930,1,2,1,0.5
"52",56,"Dennis, James",5,2,0,2,0,1924,1,3,1,0.285714286
"53",57,"Dubina, Joel F.",11,3,1,2,0,1947,1,7,1,0.8
"54",58,"Duhe, John M.",5,4,2,2,0,1933,1,4,1,0.428571429
"55",59,"Easterbrook, Frank H.",7,0,0,0,0,1948,1,3,1,0.236842105
"56",60,"Ebel, David M.",10,4,2,2,0,1940,1,7,1,0.107142857
"57",61,"Edmondson, James L.",11,2,2,0,0,1947,1,2,1,0.125
"58",62,"Edwards, Harry T.",12,2,1,1,0,1940,2,8,0,0.625
"59",63,"Engel, Albert J.",6,4,2,2,0,1924,1,2,1,0
"60",64,"Ervin, Samuel J., III",4,4,2,2,0,1926,1,7,0,0.5
"61",65,"Eschbach, Jesse E.",7,2,1,1,0,1920,1,7,1,0.25
"62",66,"Evans, Terence",7,3,2,1,0,1940,1,4,0,0.454545455
"63",67,"Fagg, George B.",8,6,3,3,0,1934,1,10,1,0.533333333
"64",68,"Fairchild, Thomas",7,4,2,2,0,1912,1,11,0,0
"65",69,"Farris, Joseph Jerome",9,2,2,0,0,1930,2,8,0,0.333333333
"66",70,"Fay, Peter T.",5,2,0,2,0,1929,1,4,1,0.5
"67",71,"Feinberg, Wilfred",2,3,2,1,0,1920,1,5,0,1
"68",72,"Ferguson, Warren J.",9,4,2,2,0,1920,1,4,0,0.666666667
"69",74,"Fisher, Raymond",9,2,1,1,0,1939,1,10,0,0.666666667
"70",75,"Flaum, Joel M.",7,2,1,1,0,1936,1,5,1,0.46875
"71",76,"Fletcher, Betty B.",9,4,2,2,0,1923,1,8,0,0.75
"72",77,"Fletcher, William",9,0,0,0,0,1953,1,99,0,1
"73",78,"Fuentes, Julio",3,3,3,0,0,1946,3,4,0,0.333333333
"74",79,"Garland, Merrick",12,2,2,0,0,1952,1,99,0,0.5
"75",80,"Garth, Leonard I.",3,1,1,0,0,1921,1,5,1,0.5
"76",81,"Garwood, William L.",5,2,1,1,0,1931,1,2,1,0.166666667
"77",82,"Garza, Emilio M.",5,0,0,0,0,1947,3,4,1,0.375
"78",83,"Garza, Reynaldo",5,4,2,2,0,1915,3,4,0,0.666666667
"79",84,"Gibbons, Julia",6,2,1,1,1,1950,1,99,1,0
"80",86,"Gibson, John R.",8,4,3,1,0,1925,1,7,1,0.5625
"81",87,"Gilman, Ronald",6,2,2,0,0,1942,1,5,0,0.368421053
"82",88,"Ginsburg, Douglas, H.",12,3,3,0,0,1946,1,5,1,0.666666667
"83",89,"Godbold, John",5,4,3,1,0,1920,1,2,0,0.333333333
"84",90,"Goodwin, Alfred T.",9,5,2,3,0,1923,1,7,1,0.714285714
"85",91,"Gould, Ronald",9,2,1,1,0,1946,1,5,0,0.8
"86",92,"Graber, Susan",9,1,1,0,1,1949,1,5,0,0.428571429
"87",93,"Greenberg, Morton I.",3,3,2,1,0,1933,1,5,1,0.384615385
"88",94,"Gregory, Roger",4,3,3,0,0,1953,2,99,0,0.333333333
"89",96,"Hall, Cynthia H.",9,0,0,0,1,1929,1,2,1,0.555555556
"90",97,"Hamilton, Clyde H.",4,2,0,2,0,1934,1,10,1,0.555555556
